{{Mod
|id                               = SpellImpaleOnCritChanceUnique__1
|mod_groups                       = ChanceToImpaleWithSpells
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SpellImpaleOnCritChance
|stat_text                        = Critical Strikes with [[Spell|Spells]] inflict Impale
|stat1_id                         = spell_impale_on_crit_%_chance
|stat1_min                        = 100
|stat1_max                        = 100
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
