{{Mod
|id                               = AuraEffectWhileLinkedUnique__1
|mod_groups                       = AuraEffect
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AuraEffectWhileLinked
|stat_text                        = (20-40)% increased Effect of Non-Curse Auras from your [[Skill|Skills]] while you have a Linked Target
|stat1_id                         = non_curse_aura_effect_+%_while_linked
|stat1_min                        = 20
|stat1_max                        = 40
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
