{{Mod
|id                               = TrapSkillsHaveBloodMagicUnique__1
|mod_groups                       = BloodMagic
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = TrapSkillsHaveBloodMagic
|stat_text                        = [[Skill|Skills]] which throw [[Trap|Traps]] Cost [[Life]] instead of [[Mana]]
|stat1_id                         = trap_throw_skills_have_blood_magic
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
