{{Mod
|id                               = TinctureElementalPenetration4
|domain                           = 34
|generation_type                  = 2
|required_level                   = 73
|name                             = of the Unleashed
|mod_groups                       = ElementalPenetration
|mod_type                         = TinctureElementalPenetration
|game_mode                        = 0
|stat_text                        = Melee Weapon Damage Penetrates (14-16)% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = penetrate_elemental_resistances_%_with_tinctured_weapons
|stat1_min                        = 14
|stat1_max                        = 16
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, damage, elemental, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
