{{Mod
|id                               = ElementalDamagePerPowerChargeUnique__1
|mod_groups                       = ElementalDamagePerPowerCharge
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ElementalDamagePerPowerCharge
|stat_text                        = (3-5)% increased [[Elemental Damage]] per [[Power Charge|Power charge]]
|stat1_id                         = elemental_damage_+%_per_power_charge
|stat1_min                        = 3
|stat1_max                        = 5
|tags                             = elemental_damage, damage, elemental
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
