{{Mod
|id                               = AbyssAddedColdDamageWithSwordsJewel2
|mod_groups                       = SpecificWeaponColdDamage
|domain                           = 13
|generation_type                  = 1
|required_level                   = 38
|name                             = Freezing
|mod_type                         = AddedColdDamageWithSwords
|stat_text                        = (6-7) to (11-13) Added [[Cold Damage]] with [[Sword]] [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_cold_damage_with_swords
|stat1_min                        = 6
|stat1_max                        = 7
|stat2_id                         = attack_maximum_added_cold_damage_with_swords
|stat2_min                        = 11
|stat2_max                        = 13
|spawn_weight1_tag                = sword
|spawn_weight1_value              = 2000
|spawn_weight2_tag                = specific_weapon
|spawn_weight2_value              = 0
|spawn_weight3_tag                = abyss_jewel_melee
|spawn_weight3_value              = 500
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = elemental_damage, damage, elemental, cold, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
