{{Mod
|id                               = WeaponElementalDamageEssence3
|mod_groups                       = IncreasedWeaponElementalDamagePercent
|domain                           = 1
|generation_type                  = 1
|required_level                   = 26
|name                             = Essences
|mod_type                         = IncreasedWeaponElementalDamagePercent
|stat_text                        = (21-25)% increased [[Elemental Damage]] with [[Attack]] [[Skill|Skills]]
|stat1_id                         = elemental_damage_with_attack_skills_+%
|stat1_min                        = 21
|stat1_max                        = 25
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, damage, elemental, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
