{{Mod
|id                               = Maximum2OfSameTotemUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 78
|mod_groups                       = Maximum2OfSameTotem
|mod_type                         = Maximum2OfSameTotem
|game_mode                        = 0
|stat_text                        = You cannot have more than 2 Summoned [[Totem|Totems]] of the same type
|stat1_id                         = maximum_2_of_same_totem
|stat1_min                        = 1
|stat1_max                        = 1
}}
