{{Mod
|id                               = VillageLocalNoVaalSoulGainPrevention
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = LocalVaalSoulGainPrevention
|granted_skill                    = SupportLocalNoVaalSoulGainPrevention
|mod_type                         = LocalVaalSoulGainPreventionVillage
|game_mode                        = 0
|stat_text                        = [[Item socket|Socketed]] Vaal [[Skill|Skills]] do not apply Soul Gain Prevention
|stat1_id                         = local_display_socketed_vaal_skills_no_soul_gain_prevention_duration
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = village_runesmithing_enchant, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
