{{Mod
|id                               = ManaGainPerTargetUberShaper1
|mod_groups                       = ManaGainPerTarget
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Shaper's
|mod_type                         = ManaGainPerTarget
|stat_text                        = Gain (2-3) [[Mana]] per Enemy [[Hit]] with [[Attack|Attacks]]
|stat1_id                         = mana_gain_per_target
|stat1_min                        = 2
|stat1_max                        = 3
|spawn_weight1_tag                = quiver_shaper
|spawn_weight1_value              = 800
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = resource, mana, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
