{{Passive skill
|id                                  = physical_damage1749
|int_id                              = 19210
|name                                = Physical Damage and Ignore Physical Damage Reduction
|icon                                = GreenPhysicalDamageNode
|stat1_id                            = physical_damage_+%
|stat1_value                         = 14
|stat2_id                            = hits_ignore_enemy_monster_physical_damage_reduction_%_chance
|stat2_value                         = 10
|stat_text                           = 14% increased [[Physical Damage]]<br>[[Hit|Hits]] have 10% chance to ignore Enemy [[Physical Damage]] Reduction
|connections                         = dexterity974,physical_damage1752
}}
