{{Base item
|rarity_id                               = normal
|name                                    = Journey Tattoo of the Mind
|class_id                                = StackableCurrency
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 1
|tags                                    = currency, default
|metadata_id                             = Metadata/Items/Currency/AncestralTattooSpecialUnique4
|stack_size                              = 10
|help_text                               = Right click this item then left click a valid Passive Skill. Maximum 50 Tattoos.<br>Shift click to unstack.
|stack_size_currency_tab                 = 5000
|tattoo_target                           = +30 to Dexterity Notable
|tattoo_tribe                            = 10
|implicit1_text                          = {{c|default|Replaces a}} {{c|value|+30 to Dexterity Notable}} {{c|default|Passive Skill}}
|tattoo_stat_text                        = +30 to maximum Mana per Allocated Journey Tattoo of the Mind
|description                             = Grants "+30 to maximum [[Mana]] per Allocated Journey Tattoo of the Mind"
}}
