{{Mod
|id                               = AddedPhysicalDamageEssenceRing5
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 58
|name                             = Essences
|mod_type                         = PhysicalDamage
|stat_text                        = Adds (6-8) to (12-13) [[Physical Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_physical_damage
|stat1_min                        = 6
|stat1_max                        = 8
|stat2_id                         = attack_maximum_added_physical_damage
|stat2_min                        = 12
|stat2_max                        = 13
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
