{{Passive skill
|id                                  = arcane_potency378
|int_id                              = 46842
|name                                = Arcane Potency
|is_notable                          = True
|icon                                = arcanepotency
|stat1_id                            = base_spell_critical_strike_multiplier_+
|stat1_value                         = 30
|stat2_id                            = spell_critical_strike_chance_+%
|stat2_value                         = 30
|stat_text                           = +30% to [[Critical Strike Multiplier]] for [[Spell Damage]]<br>30% increased [[Critical Strike Chance]] for [[Spell|Spells]]
|connections                         = spell_critical_strike_multiplier377,mastery_criticals67,mastery_criticals67,spell_critical_strike_multiplier377
}}
