{{Passive skill
|id                                  = affliction_notable_stoic_focus
|int_id                              = 35363
|name                                = Stoic Focus
|is_notable                          = True
|icon                                = DmgWhenChannelSkillsNotable
|stat1_id                            = channelled_skill_damage_+%
|stat1_value                         = 25
|stat2_id                            = chance_to_block_attacks_%_while_channelling
|stat2_value                         = 3
|stat3_id                            = chance_to_block_spells_%_while_channelling
|stat3_value                         = 3
|stat_text                           = Channelling [[Skill|Skills]] deal 25% increased Damage<br>+3% Chance to [[Block]] [[Attack Damage]] while Channelling<br>+3% Chance to [[Block]] [[Spell Damage]] while Channelling
}}
