{{Passive skill
|id                                  = AscendancyCustomAssassin14
|int_id                              = 5903
|name                                = Skincrawlers
|ascendancy_class                    = Assassin
|is_notable                          = True
|icon                                = ChaosDamageOverTimeNotable
|stat1_id                            = minions_chance_to_poison_on_hit_%
|stat1_value                         = 50
|stat2_id                            = minions_have_%_chance_to_inflict_wither_on_hit
|stat2_value                         = 10
|stat_text                           = [[Minion|Minions]] have 50% chance to [[Poison]] Enemies on [[Hit]]<br>[[Minion|Minions]] have 10% chance to inflict Withered on [[Hit]]
}}
