{{Mod
|id                               = PhasingOnRampageUniqueGlovesDexInt6
|mod_groups                       = PhasingOnRampage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = PhasingOnRampage
|stat_text                        = Enemies do not [[Block|block]] your movement for 4 seconds on [[Rampage]]
|stat1_id                         = phasing_on_rampage_threshold_ms
|stat1_min                        = 4000
|stat1_max                        = 4000
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
