{{Mod
|id                               = BurningArrowThresholdJewel_2
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = PassiveJewelGrantsRadius
|mod_type                         = BurningArrowThresholdJewel2
|game_mode                        = 0
|stat_text                        = Ignited Enemies Killed by your [[Hit|Hits]] are destroyed
|stat1_id                         = ignited_enemies_explode_on_kill
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = elemental, fire, attack, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
