{{Mod
|id                               = HellscapeUpsideMinimumPowerCharges1
|mod_groups                       = MinimumPowerCharges
|domain                           = 1
|generation_type                  = 24
|required_level                   = 68
|mod_type                         = MinimumPowerCharges
|stat_text                        = +1 to Minimum [[Power Charge|Power Charges]]
|stat1_id                         = base_minimum_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = power_charge
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
