{{Mod
|id                               = MonsterSevenAdditionalTotems
|mod_groups                       = AdditionalTotems
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = AdditionalTotems
|stat_text                        = +7 to maximum number of Summoned [[Totem|Totems]] (Hidden)
|stat1_id                         = number_of_additional_totems_allowed
|stat1_min                        = 7
|stat1_max                        = 7
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
