{{Mod
|id                               = GlobalFireGemLevelInfluence1
|domain                           = 1
|generation_type                  = 1
|required_level                   = 82
|name                             = Warlord's
|mod_groups                       = GlobalDamageTypeGemLevel
|mod_type                         = GlobalFireGemLevel
|game_mode                        = 0
|stat_text                        = +1 to [[Level]] of all [[Fire Skills|Fire Skill]] Gems
|stat1_id                         = fire_skill_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = amulet_adjudicator
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = influence_mod, elemental, fire, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
