{{Mod
|id                               = DelveGlovesMinionDamage1
|mod_groups                       = MinionDamage
|domain                           = 16
|generation_type                  = 1
|required_level                   = 1
|name                             = Subterranean
|mod_type                         = MinionDamage
|stat_text                        = [[Minion|Minions]] deal (20-30)% increased Damage
|stat1_id                         = minion_damage_+%
|stat1_min                        = 20
|stat1_max                        = 30
|spawn_weight1_tag                = abyss_jewel
|spawn_weight1_value              = 0
|spawn_weight2_tag                = jewel
|spawn_weight2_value              = 0
|spawn_weight3_tag                = gloves
|spawn_weight3_value              = 2000
|spawn_weight4_tag                = default
|spawn_weight4_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
