{{Mod
|id                               = AvoidLightningDamageInfluence1
|mod_groups                       = LightningDamageAvoidance
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of the Conquest
|mod_type                         = LightningDamageAvoidance
|stat_text                        = (5-7)% chance to Avoid [[Lightning Damage]] from [[Hit|Hits]]
|stat1_id                         = avoid_lightning_damage_%
|stat1_min                        = 5
|stat1_max                        = 7
|spawn_weight1_tag                = boots_adjudicator
|spawn_weight1_value              = 500
|spawn_weight2_tag                = shield_adjudicator
|spawn_weight2_value              = 500
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = elemental, lightning
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
