{{Passive skill
|id                                  = AscendancyCustomJuggernaut19
|int_id                              = 62534
|name                                = Spirit of Rakiata
|reminder_text                       = (Summons an immortal chieftain minion of the Tasalio tribe to fight alongside you for a duration. This minion grants you a buff which prevents your action speed being lowered)
|ascendancy_class                    = Juggernaut
|is_multiple_choice_option           = True
|icon                                = JuggernautArmourNotable (Juggernaut)
|stat1_id                            = local_display_tattoo_trigger_level_x_rakiata
|stat1_value                         = 20
|stat2_id                            = has_trigger_on_crit_vs_marked_unique
|stat2_value                         = 1
|stat_text                           = Trigger [[Level|level]] 20 Summon Spirit of Rakiata [[Skill]] on [[Critical Strike]] against Marked Unique Enemy
}}
