{{Passive skill
|id                                  = AscendancyInquisitor14
|int_id                              = 13851
|name                                = Instruments of Zeal
|ascendancy_class                    = Inquisitor
|is_notable                          = True
|icon                                = InstrumentsofZeal (Inquistitor)
|stat1_id                            = maximum_fanaticism_charges
|stat1_value                         = 4
|stat2_id                            = gain_x_fanatic_charges_every_second_if_have_attacked_in_past_second
|stat2_value                         = 1
|stat3_id                            = gain_fanaticism_for_4_seconds_on_reaching_maximum_fanatic_charges
|stat3_value                         = 1
|stat4_id                            = lose_all_fanatic_charges_on_reaching_maximum_fanatic_charges
|stat4_value                         = 1
|stat_text                           = +4 to Maximum Fanatic [[Charge|Charges]]<br>Gain 1 Fanatic [[Charge]] every second if you've Attacked in the past second<br>Gain Fanaticism for 4 seconds on reaching Maximum Fanatic [[Charge|Charges]]<br>Lose all Fanatic [[Charge|Charges]] on reaching Maximum Fanatic [[Charge|Charges]]
|connections                         = AscendancyInquisitor13
}}
