{{Mod
|id                               = ColdAndLightningResistImplicitRing1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 25
|mod_groups                       = ColdAndLightningResistance
|mod_type                         = ColdAndLightningResistance
|game_mode                        = 0
|stat_text                        = +(12-16)% to Cold and [[Lightning Resistance|Lightning Resistances]]
|stat1_id                         = cold_and_lightning_damage_resistance_%
|stat1_min                        = 12
|stat1_max                        = 16
|tags                             = elemental, cold, lightning, resistance
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
