{{Mod
|id                               = V2CannotBePoisonedCorrupted
|mod_groups                       = CannotBePoisoned
|domain                           = 1
|generation_type                  = 5
|required_level                   = 40
|mod_type                         = CannotBePoisoned
|stat_text                        = Cannot be [[Poison|Poisoned]]
|stat1_id                         = cannot_be_poisoned
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
