{{Mod
|id                               = TravelSkillMoreDamageUnique__1
|mod_groups                       = TravelSkillMoreDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = ModTravelSkillsDealMoreDamage
|mod_type                         = TravelSkillMoreDamage
|stat_text                        = [[Item socket|Socketed]] Travel [[Skill|Skills]] deal 80% more Damage
|stat1_id                         = local_display_socketed_travel_skills_damage_+%_final
|stat1_min                        = 80
|stat1_max                        = 80
|tags                             = skill
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
