{{Passive skill
|id                                  = affliction_notable_vicious_skewering
|int_id                              = 28635
|name                                = Vicious Skewering
|is_notable                          = True
|icon                                = IncreasedAttackDamageNotable
|stat1_id                            = impale_debuff_effect_+%_from_hits_that_also_inflict_bleeding
|stat1_value                         = 15
|stat2_id                            = attacks_impale_on_hit_%_chance
|stat2_value                         = 10
|stat3_id                            = bleed_on_hit_with_attacks_%
|stat3_value                         = 10
|stat_text                           = 15% increased Effect of Impales inflicted by [[Hit|Hits]] that also inflict Bleeding<br>10% chance to Impale Enemies on [[Hit]] with [[Attack|Attacks]]<br>[[Attack|Attacks]] have 10% chance to cause Bleeding
}}
