{{Mod
|id                               = SanctumUniqueRelicLevelRequirement75
|mod_groups                       = SanctumUniqueRelic
|domain                           = 7
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = SanctumUniqueRelicLevelRequirement
|stat_text                        = Cannot be used with Forbidden Tomes below [[Level|level]] 75
|stat1_id                         = local_unique_relic_sanctum_level_restriction
|stat1_min                        = 75
|stat1_max                        = 75
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
