{{Mod
|id                               = MapRelicIncursionDoubleTimeFromKill1
|domain                           = 38
|generation_type                  = 2
|required_level                   = 68
|name                             = of Incursion
|mod_groups                       = MapRelicIncursionDoubleTimeFromKill
|mod_type                         = MapRelicIncursionDoubleTimeFromKill
|game_mode                        = 0
|stat_text                        = Time gained from [[Kill|Kills]] is Doubled for Incursions in your Maps
|stat1_id                         = map_incursion_kill_time_doubled
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = atlas_relic_very_large
|spawn_weight1_value              = 300
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
