{{Passive skill
|id                                  = dagger_damage_and_attack_speed468
|int_id                              = 38864
|name                                = Dagger Damage and Attack Speed
|icon                                = attackspeeddagger
|stat1_id                            = dagger_hit_and_ailment_damage_+%
|stat1_value                         = 8
|stat2_id                            = dagger_attack_speed_+%
|stat2_value                         = 4
|stat_text                           = [[Dagger]] [[Attack|Attacks]] deal 8% increased Damage with [[Hit|Hits]] and Ailments<br>4% increased [[Attack Speed]] with [[Dagger|Daggers]]
|connections                         = flaying266,dagger_damage_and_attack_speed467,flaying266
}}
