{{Mod
|id                               = ControlledDestructionSupportUnique__1
|mod_groups                       = ControlledDestructionSupport
|domain                           = 1
|generation_type                  = 3
|required_level                   = 45
|granted_skill                    = SupportControlledDestruction
|mod_type                         = ControlledDestructionSupportLevel10Boolean
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Controlled Destruction Support|Level 10 Controlled Destruction]]
|stat1_id                         = local_display_supported_by_level_10_controlled_destruction
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
