{{Passive skill
|id                                  = AscendancyCustomTrickster2
|int_id                              = 24698
|name                                = Sightless
|ascendancy_class                    = Trickster
|is_notable                          = True
|icon                                = stabbingcomeback
|stat1_id                            = override_weapon_base_critical_strike_chance
|stat1_value                         = 1200
|stat2_id                            = you_are_blind
|stat2_value                         = 1
|stat_text                           = Base [[Critical Strike Chance]] for [[Attack|Attacks]] with Weapons is 12%<br>You are Blind
}}
