{{Mod
|id                               = MercenaryModClonesInheritGloves
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = Infamous
|mod_groups                       = ClonesInheritGloves
|mod_type                         = ClonesInheritGloves
|game_mode                        = 0
|stat_text                        = Your Blink and [[Mirror Arrow|Mirror arrow]] clones use your Gloves
|stat1_id                         = blink_and_mirror_arrow_clones_inherit_gloves
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
