{{Base item
|rarity_id                               = normal
|name                                    = Divine Beauty
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = In a land far away lived <br>a maiden most fair.<br>Her smile melted the coldest<br>of hearts, her song made<br>men and beast cry, <br>her beauty unparalleled;<br>Divine.
|drop_level                              = 68
|tags                                    = currency_divination, currency_basic_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardDivineBeauty
|stack_size                              = 12
|description                             = {{c|currency|7x {{il|html=|Divine Orb}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
