{{Mod
|id                               = MinionLifeRecoveryOnBlockUniqueJewel18
|mod_groups                       = MinionLifeRecoveryOnBlock
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionLifeRecoveryOnBlock
|stat_text                        = [[Minion|Minions]] Recover 2% of their [[Life]] when they [[Block]]
|stat1_id                         = minion_recover_%_of_maximum_life_on_block
|stat1_min                        = 2
|stat1_max                        = 2
|tags                             = block, resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
