{{Passive skill
|id                                  = damage_while_using_shield1913
|int_id                              = 36761
|name                                = Attack Damage and Attack Speed with Shield
|icon                                = ShieldAttackDamage
|stat1_id                            = attack_skills_damage_+%_while_holding_shield
|stat1_value                         = 10
|stat2_id                            = attack_speed_+%_while_holding_shield
|stat2_value                         = 3
|stat_text                           = [[Attack]] [[Skill|Skills]] deal 10% increased Damage while holding a [[Shield]]<br>3% increased [[Attack Speed]] while holding a [[Shield]]
|connections                         = damage_while_using_shield1914,damage_while_using_shield1914,shield_damage_notable1915
}}
