{{Mod
|id                               = ChestItemLevelSynthesis
|domain                           = 4
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = ChestItemLevel
|mod_type                         = ChestItemLevel
|game_mode                        = 0
|stat_text                        = +(0-2) Chest [[Level|level]]
|stat1_id                         = chest_dropped_item_level_+
|stat1_min                        = 0
|stat1_max                        = 2
}}
