{{Passive skill
|id                                  = affliction_notable_heraldry
|int_id                              = 28551
|name                                = Heraldry
|is_notable                          = True
|icon                                = DmgHeraldSkillsNotable
|stat1_id                            = nearby_enemies_have_fire_exposure_while_you_are_affected_by_herald_of_ash
|stat1_value                         = 1
|stat2_id                            = nearby_enemies_have_cold_exposure_while_you_are_affected_by_herald_of_ice
|stat2_value                         = 1
|stat3_id                            = nearby_enemies_have_lightning_exposure_while_you_are_affected_by_herald_of_thunder
|stat3_value                         = 1
|stat_text                           = Nearby Enemies have Fire Exposure while you are affected by [[Herald of Ash]]<br>Nearby Enemies have Cold Exposure while you are affected by [[Herald of Ice]]<br>Nearby Enemies have Lightning Exposure while you are affected by [[Herald of Thunder]]
}}
