{{Mod
|id                               = SynthesisImplicitAvoidChill3
|domain                           = 1
|generation_type                  = 3
|required_level                   = 36
|mod_groups                       = AvoidChill
|mod_type                         = AvoidChill
|game_mode                        = 0
|stat_text                        = (22-25)% chance to Avoid being [[Chill|Chilled]]
|stat1_id                         = base_avoid_chill_%
|stat1_min                        = 22
|stat1_max                        = 25
|tags                             = elemental, cold, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
