{{Mod
|id                               = FlaskVaalGainSoulsAsChargesUnique__1_
|mod_groups                       = FlaskVaalGainSoulsAsCharges
|domain                           = 2
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = FlaskVaalGainSoulsAsCharges
|stat_text                        = Gain Vaal Souls equal to [[Charge|Charges]] Consumed when used
|stat1_id                         = local_flask_gain_charges_consumed_as_vaal_souls_on_use
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = flask, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
