{{Mod
|id                               = MinionDamageAndManaOnWeapon3
|mod_groups                       = SpellDamageAndMana
|domain                           = 1
|generation_type                  = 1
|required_level                   = 23
|name                             = Marquess's
|mod_type                         = MinionDamageOnWeaponAndMana
|stat_text                        = [[Minion|Minions]] deal (15-19)% increased Damage<br>+(25-28) to maximum [[Mana]]
|stat1_id                         = minion_damage_+%
|stat1_min                        = 15
|stat1_max                        = 19
|stat2_id                         = base_maximum_mana
|stat2_min                        = 25
|stat2_max                        = 28
|spawn_weight1_tag                = two_hand_weapon
|spawn_weight1_value              = 0
|spawn_weight2_tag                = weapon_can_roll_minion_modifiers
|spawn_weight2_value              = 2000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = resource, mana, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
