{{Mod
|id                               = HungryLoopSupportedByPierce_
|mod_groups                       = HungryLoop
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|granted_skill                    = SupportPierce
|mod_type                         = HungryLoopSupportedByPierce
|stat_text                        = Has Consumed 1 Gem<br>[[Item socket|Socketed]] Gems are supported by [[Pierce Support|Level 20 Pierce]]
|stat1_id                         = local_unique_hungry_loop_number_of_gems_to_consume
|stat1_min                        = -1
|stat1_max                        = -1
|stat2_id                         = local_unique_hungry_loop_has_consumed_gem
|stat2_min                        = 1
|stat2_max                        = 1
|stat3_id                         = local_display_socketed_gems_supported_by_pierce_level
|stat3_min                        = 20
|stat3_max                        = 20
|tags                             = support, gem
}}
