{{Passive skill
|id                                  = additional_minions277
|int_id                              = -3554
|name                                = Grave Intentions
|is_notable                          = True
|icon                                = graveintentions
|stat1_id                            = minion_chaos_resistance_%
|stat1_value                         = 27
|stat2_id                            = minion_maximum_life_%_to_add_as_maximum_energy_shield
|stat2_value                         = 20
|stat_text                           = [[Minion|Minions]] have +27% to [[Chaos Resistance]]<br>[[Minion|Minions]] gain 20% of Maximum [[Life]] as Extra Maximum [[Energy Shield]]
}}
