{{Mod
|id                               = AnimalCharmBlindOnHitChance2
|mod_groups                       = AnimalCharmBlindOnHitChance
|domain                           = 35
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Saboteur
|mod_type                         = AnimalCharmBlindOnHitChance
|stat_text                        = (11-15)% Global chance to Blind Enemies on [[Hit|hit]]
|stat1_id                         = global_chance_to_blind_on_hit_%
|stat1_min                        = 11
|stat1_max                        = 15
|spawn_weight1_tag                = int_animal_charm
|spawn_weight1_value              = 250
|spawn_weight2_tag                = dex_animal_charm
|spawn_weight2_value              = 250
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
