{{Mod
|id                               = ChaosGemCastSpeedJewel
|domain                           = 10
|generation_type                  = 1
|required_level                   = 1
|name                             = Withering
|mod_groups                       = ChaosCastSpeed
|mod_type                         = ChaosGemCastSpeedForJewel
|game_mode                        = 0
|stat_text                        = (3-5)% increased [[Cast Speed]] with Chaos [[Skill|Skills]]
|stat1_id                         = cast_speed_for_chaos_skills_+%
|stat1_min                        = 3
|stat1_max                        = 5
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = chaos, caster, speed
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
