{{Mod
|id                               = CannotGainPowerChargesUnique__1
|mod_groups                       = CannotGainPowerCharges
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = CannotGainPowerCharges
|stat_text                        = Cannot gain [[Power Charge|Power Charges]]
|stat1_id                         = cannot_gain_power_charges
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = power_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
