{{Mod
|id                               = AbyssSpellAddedPhysicalDamageJewel1
|mod_groups                       = SpellAddedPhysicalSuffix
|domain                           = 13
|generation_type                  = 2
|required_level                   = 32
|name                             = of Heft
|mod_type                         = SpellAddedPhysicalSuffix
|stat_text                        = Adds (3-4) to (6-7) [[Physical Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_physical_damage
|stat1_min                        = 3
|stat1_max                        = 4
|stat2_id                         = spell_maximum_added_physical_damage
|stat2_min                        = 6
|stat2_max                        = 7
|spawn_weight1_tag                = abyss_jewel_caster
|spawn_weight1_value              = 700
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical_damage, caster_damage, damage, physical, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
