{{Passive skill
|id                                  = AscendancyInquisitor4
|int_id                              = 60769
|name                                = Elemental Damage and Resistances
|ascendancy_class                    = Inquisitor
|icon                                = IncreasedElementalDamageElementalPenetration (Inquistitor)
|stat1_id                            = elemental_damage_+%
|stat1_value                         = 10
|stat2_id                            = base_resist_all_elements_%
|stat2_value                         = 6
|stat_text                           = 10% increased [[Elemental Damage]]<br>+6% to all [[Elemental Resistance|Elemental Resistances]]
|connections                         = AscendancyInquisitor9,AscendancyInquisitor9,AscendancyInquisitorStart
}}
