{{Passive skill
|id                                  = affliction_notable_thaumophage
|int_id                              = 14085
|name                                = Thaumophage
|is_notable                          = True
|icon                                = IncreasedSpellDamageNotable
|stat1_id                            = base_energy_shield_leech_from_spell_damage_permyriad
|stat1_value                         = 60
|stat2_id                            = spell_damage_+%_while_es_full
|stat2_value                         = 25
|stat3_id                            = spells_chance_to_hinder_on_hit_%
|stat3_value                         = 10
|stat_text                           = 0.6% of [[Spell Damage]] Leeched as [[Energy Shield]]<br>25% increased [[Spell Damage]] while on Full [[Energy Shield]]<br>10% chance to Hinder Enemies on [[Hit]] with [[Spell|Spells]]
}}
