{{Mod
|id                               = SpellAddedChaosDamageUber2
|mod_groups                       = SpellAddedChaosDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = The Elder's
|mod_type                         = SpellAddedChaosDamage
|stat_text                        = Adds (17-23) to (34-40) [[Chaos Damage]] to [[Spell|Spells]]
|stat1_id                         = spell_minimum_added_chaos_damage
|stat1_min                        = 17
|stat1_max                        = 23
|stat2_id                         = spell_maximum_added_chaos_damage
|stat2_min                        = 34
|stat2_max                        = 40
|spawn_weight1_tag                = helmet_elder
|spawn_weight1_value              = 400
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = caster_damage, chaos_damage, damage, chaos, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
