{{Mod
|id                               = EnchantmentSummonIceGolemDamage2
|domain                           = 1
|generation_type                  = 10
|required_level                   = 75
|name                             = Enchantment Summon Ice Golem Damage 2
|mod_groups                       = SkillEnchantment
|mod_type                         = EnchantmentSummonIceGolemDamage
|game_mode                        = 0
|stat_text                        = [[Summon Ice Golem|Ice Golems]] deal 40% increased Damage
|stat1_id                         = ice_golem_damage_+%
|stat1_min                        = 40
|stat1_max                        = 40
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = damage, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
