{{Passive skill
|id                                  = affliction_notable_martial_momentum
|int_id                              = 2655
|name                                = Martial Momentum
|is_notable                          = True
|icon                                = DualWieldingDamage
|stat1_id                            = attack_speed_while_dual_wielding_+%
|stat1_value                         = 8
|stat2_id                            = accuracy_rating_while_dual_wielding_+%
|stat2_value                         = 16
|stat3_id                            = damage_+%_if_used_travel_skill_recently
|stat3_value                         = 32
|stat_text                           = 8% increased [[Attack Speed]] while [[Dual Wield|Dual Wielding]]<br>16% increased [[Accuracy Rating]] while [[Dual Wield|Dual Wielding]]<br>32% increased Damage if you've used a Travel [[Skill]] [[Recently]]
}}
