{{Passive skill
|id                                  = AscendancyDeadeye6
|int_id                              = 26067
|name                                = Endless Munitions
|ascendancy_class                    = Deadeye
|is_notable                          = True
|icon                                = Additionalprojectile
|stat1_id                            = number_of_additional_projectiles
|stat1_value                         = 2
|stat_text                           = [[Skill|Skills]] fire 2 additional Projectiles
|connections                         = AscendancyDeadeye13,AscendancyDeadeye17,AscendancyDeadeye18
}}
