{{Mod
|id                               = LocalVaalSoulGainPreventionUnique__1
|mod_groups                       = LocalVaalSoulGainPrevention
|domain                           = 1
|generation_type                  = 3
|required_level                   = 80
|granted_skill                    = UniqueSupportLocalVaalSoulGainPrevention
|mod_type                         = LocalVaalSoulGainPrevention
|stat_text                        = [[Item socket|Socketed]] Vaal [[Skill|Skills]] have 30% reduced Soul Gain Prevention Duration
|stat1_id                         = local_display_socketed_vaal_skills_soul_gain_prevention_duration_+%
|stat1_min                        = -30
|stat1_max                        = -30
|tags                             = vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
