{{Mod
|id                               = CurseAurasAffectYouUnique__1
|mod_groups                       = CurseAurasAffectYou
|domain                           = 1
|generation_type                  = 3
|required_level                   = 70
|granted_skill                    = SupportCurseAurasAffectYouUnique
|mod_type                         = CurseAurasAffectYou
|stat_text                        = [[Curse]] Auras from [[Item socket|Socketed]] [[Skill|Skills]] also affect you
|stat1_id                         = local_display_socketed_gems_curse_auras_also_affect_you
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = support, gem, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
