{{Mod
|id                               = StarterPassiveTreeJewelUnique__5
|mod_groups                       = StarterPassiveJewel
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = StarterPassiveJewel5
|stat_text                        = While your Passive [[Skill]] Tree connects to the Templar's starting location, you gain:<br />Damage Penetrates 5% [[Elemental Resistance|Elemental Resistances]]
|stat1_id                         = local_unique_jewel_elemental_penetration_%_with_passive_tree_connected_to_templar_start
|stat1_min                        = 5
|stat1_max                        = 5
|tags                             = elemental_damage, damage, elemental
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
