{{Base item
|rarity_id                               = normal
|name                                    = Spellblade Support
|class_id                                = Support Skill Gem
|size_x                                  = 1
|size_y                                  = 1
|drop_level                              = 38
|tags                                    = support_gem, gem, default
|metadata_id                             = Metadata/Items/Gems/SupportGemSpellblade
|help_text                               = This is a Support Gem. It does not grant a bonus to your character, but to skills in sockets connected to it. Place into an item socket connected to a socket containing the Skill Gem you wish to augment. Right click to remove from a socket.
|strength_percent                        = 40
|intelligence_percent                    = 60
|gem_tags                                = Support, Spell
|skill_id                                = SupportSpellblade
|support_gem_letter                      = |
|required_level                          = 38
|quality_type1_weight                    = 50
|quality_type1_stat_text                 = Supported Skills deal 0.5% increased Spell Damage
|quality_type1_stat1_id                  = spell_damage_+%
|quality_type1_stat1_value               = 500
|quality_type2_weight                    = 20
|quality_type2_stat_text                 = Supported Skills have Added Spell Damage equal to +1% of Damage of Equipped One Handed Melee Weapons while wielding two different Weapon Types
|quality_type2_stat1_id                  = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage_while_wielding_two_different_weapon_types
|quality_type2_stat1_value               = 1000
|quality_type3_weight                    = 50
|quality_type3_stat_text                 = Supported Skills have 0.5% chance for Damage with Hits to be Lucky
|quality_type3_stat1_id                  = chance_for_extra_damage_roll_%
|quality_type3_stat1_value               = 500
|static_cost_multiplier                  = 130
|static_damage_effectiveness             = 100
|static_damage_multiplier                = 100
|static_attack_speed_multiplier          = 100
|stat_text                               = Supported Skills have Added Spell Damage equal to (40-135)% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level1                                  = True
|level1_level_requirement                = 38
|level1_stat_text                        = Supported Skills have Added Spell Damage equal to 40% of<br>Damage of Equipped One Handed Melee Weapons<br>If two Weapons are Equipped, each contributes 60% as much Added Damage
|level1_stat1_id                         = support_spell_weapon_damage_gain_%_of_one_hand_melee_weapon_damage_as_added_spell_damage
|level1_stat1_value                      = 40
|level2                                  = True
|level2_level_requirement                = 40
