{{Mod
|id                               = RageOnAttackCritUnique__1
|mod_groups                       = RageOnCrit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = RageOnAttackCrit
|stat_text                        = Gain 1 Rage on [[Critical Strike]] with [[Attack|Attacks]]
|stat1_id                         = kaoms_primacy_gain_rage_on_attack_crit_cooldown_ms
|stat1_min                        = 500
|stat1_max                        = 500
|tags                             = attack, critical
}}
