{{Mod
|id                               = TalismanColdTakenAsLightning
|mod_groups                       = ElementalDamageTakenAsAnotherElement
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ColdDamageTakenAsLightning
|stat_text                        = 50% of [[Cold Damage]] from [[Hit|Hits]] taken as [[Lightning Damage]]
|stat1_id                         = cold_damage_taken_%_as_lightning
|stat1_min                        = 50
|stat1_max                        = 50
|tags                             = elemental, cold, lightning
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
