{{Mod
|id                               = SynthesisImplicitAvoidShock3
|domain                           = 1
|generation_type                  = 3
|required_level                   = 36
|mod_groups                       = AvoidShock
|mod_type                         = AvoidShock
|game_mode                        = 0
|stat_text                        = (18-20)% chance to Avoid being [[Shock|Shocked]]
|stat1_id                         = base_avoid_shock_%
|stat1_min                        = 18
|stat1_max                        = 20
|tags                             = elemental, lightning, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
