{{Passive skill
|id                                  = AscendancyCustomPathfinder6
|int_id                              = 3125
|name                                = Oath of the Maji
|ascendancy_class                    = Pathfinder
|is_notable                          = True
|icon                                = WardenPrimitivism (Warden)
|stat1_id                            = elemental_resistance_%_while_no_gems_in_helmet
|stat1_value                         = 60
|stat2_id                            = maximum_life_+%_while_no_gems_in_gloves
|stat2_value                         = 30
|stat3_id                            = movement_velocity_+%_while_no_gems_in_boots
|stat3_value                         = 30
|stat4_id                            = body_armour_defences_doubled_while_no_gems_in_body_armour
|stat4_value                         = 1
|stat_text                           = +60% to all [[Elemental Resistance|Elemental Resistances]] if you have an Equipped Helmet with no [[Item socket|Socketed]] Gems<br>30% increased Maximum [[Life]] if you have Equipped Gloves with no [[Item socket|Socketed]] Gems<br>30% increased [[Movement Speed]] if you have Equipped Boots with no [[Item socket|Socketed]] Gems<br>Defences from Equipped [[Body Armour]] are doubled if it has no [[Item socket|Socketed]] Gems
}}
