{{Mod
|id                               = SanctumSpecialMinionLife
|mod_groups                       = MinionLife
|domain                           = 32
|generation_type                  = 1
|required_level                   = 75
|name                             = Protector's
|mod_type                         = MinionLife
|stat_text                        = [[Minion|Minions]] have (20-30)% increased maximum [[Life]]
|stat1_id                         = minion_maximum_life_+%
|stat1_min                        = 20
|stat1_max                        = 30
|spawn_weight1_tag                = int_special_relic
|spawn_weight1_value              = 600
|spawn_weight2_tag                = default
|spawn_weight2_value              = 150
|tags                             = resource, life, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
